account_id,account_age_days,country,is_fraud,fraud_ring_id,tx_count,tx_amount_sum,tx_amount_mean,tx_amount_std,tx_amount_max,avg_tx_hour,night_tx_ratio,unique_counterparties,device_id,ip_id
A00063,1742,US,1,2,10.0,550.56,55.056,44.63,116.69,10.5,0.2,10.0,D_RING_02,IP_RING_02
A00087,582,IN,1,2,12.0,753.43,62.786,40.012,145.78,14.417,0.333,10.0,D00127,IP00497
A00088,1389,NG,1,5,10.0,1609.31,160.931,353.174,1159.75,9.3,0.4,9.0,D_RING_05,IP_RING_05
A00103,43,US,1,5,19.0,1572.19,82.747,112.901,500.0,12.789,0.105,18.0,D00172,IP00527
A00135,567,US,1,1,20.0,751.82,37.591,55.939,241.55,9.55,0.2,16.0,D_RING_01,IP_RING_01
A00169,70,PH,1,2,11.0,1120.93,101.903,123.67,438.7,12.364,0.182,11.0,D_RING_02,IP_RING_02
A00170,217,BR,1,5,10.0,456.15,45.615,30.796,94.48,13.6,0.2,7.0,D_RING_05,IP_RING_05
A00172,1395,UK,1,2,8.0,2046.03,255.754,335.84,1000.0,11.875,0.125,6.0,D00593,IP00647
A00173,1308,UK,1,7,15.0,937.42,62.495,66.166,250.0,10.133,0.333,14.0,D00571,IP00979
A00344,1632,DE,1,1,6.0,493.98,82.33,107.282,288.18,9.667,0.167,6.0,D_RING_01,IP_RING_01
A00510,1790,US,1,0,68.0,8787.93,129.234,229.742,1105.61,12.412,0.221,63.0,D00472,IP00733
A00582,218,UK,1,6,18.0,1022.03,56.779,70.747,306.72,13.889,0.167,15.0,D00430,IP00792
A00584,745,US,1,10,12.0,876.98,73.082,97.285,334.67,9.417,0.25,11.0,D_RING_10,IP_RING_10
A00611,849,PH,1,1,6.0,234.06,39.01,43.124,120.23,12.833,0.333,6.0,D_RING_01,IP_RING_01
A00686,749,IN,1,9,12.0,1298.57,108.214,140.066,500.0,14.417,0.333,11.0,D_RING_09,IP_RING_09
A00784,876,US,1,0,20.0,2302.41,115.12,258.466,1096.02,10.35,0.25,19.0,D00662,IP01032
A00837,380,US,1,8,5.0,162.4,32.48,40.591,100.0,11.6,0.4,5.0,D_RING_08,IP_RING_08
A00874,1264,UK,1,9,11.0,1547.91,140.719,289.346,1000.0,15.364,0.182,11.0,D_RING_09,IP_RING_09
A00892,954,BR,1,0,14.0,1902.15,135.868,253.835,1000.0,12.357,0.214,13.0,D_RING_00,IP_RING_00
A00914,1077,NG,1,11,10.0,414.44,41.444,36.726,128.69,10.7,0.2,8.0,D_RING_11,IP_RING_11
A00978,651,US,1,9,9.0,582.21,64.69,79.999,250.0,11.778,0.444,9.0,D_RING_09,IP_RING_09
A00985,1184,NG,1,2,20.0,2264.85,113.242,162.193,667.05,12.7,0.3,20.0,D_RING_02,IP_RING_02
A01031,336,US,1,8,19.0,1204.52,63.396,95.241,361.36,9.105,0.421,19.0,D00426,IP01226
A01053,1726,IN,1,9,12.0,902.59,75.216,138.254,500.0,12.917,0.417,12.0,D00337,IP00382
A01072,1369,UK,1,0,15.0,709.75,47.317,33.848,123.94,9.267,0.333,13.0,D_RING_00,IP_RING_00
A01123,461,US,1,1,14.0,1739.93,124.281,283.612,1092.37,12.071,0.286,11.0,D_RING_01,IP_RING_01
A01133,1380,US,1,8,27.0,2429.1,89.967,153.321,670.97,13.852,0.185,22.0,D_RING_08,IP_RING_08
A01148,1249,US,1,10,9.0,307.94,34.216,28.222,95.39,13.444,0.333,7.0,D_RING_10,IP_RING_10
A01317,1074,US,1,8,57.0,6484.43,113.762,204.387,1000.0,12.789,0.158,57.0,D_RING_08,IP_RING_08
A01402,560,DE,1,3,72.0,7968.68,110.676,231.32,1000.0,12.556,0.208,68.0,D_RING_03,IP_RING_03
A00000,187,US,0,-1,9.0,1726.56,191.84,340.93,1000.0,9.667,0.333,9.0,D00714,IP00423
A00001,1399,US,0,-1,2.0,94.42,47.21,41.733,76.72,13.0,1.0,2.0,D00070,IP00272
A00002,1188,US,0,-1,10.0,678.41,67.841,77.846,200.0,14.8,0.1,10.0,D00620,IP00650
A00003,806,IN,0,-1,4.0,1520.82,380.205,464.678,1000.0,13.0,0.0,4.0,D00426,IP00828
A00004,796,US,0,-1,1.0,57.56,57.56,0.0,57.56,20.0,0.0,1.0,D00630,IP00326
A00005,1549,NG,0,-1,4.0,168.46,42.115,19.654,65.18,13.5,0.0,4.0,D00375,IP00958
A00006,182,BR,0,-1,1.0,1.65,1.65,0.0,1.65,14.0,0.0,1.0,D00131,IP00798
A00007,1264,DE,0,-1,2.0,251.46,125.73,101.937,197.81,15.5,0.5,2.0,D00625,IP00208
A00008,386,IN,0,-1,4.0,248.52,62.13,39.705,100.0,7.25,0.25,4.0,D00525,IP01173
A00009,196,PH,0,-1,84.0,8249.81,98.212,175.27,1000.0,12.786,0.083,83.0,D00387,IP00054
