account_id,account_age_days,country,is_fraud,fraud_ring_id
A00063,1742,US,1,2
A00087,582,IN,1,2
A00088,1389,NG,1,5
A00103,43,US,1,5
A00135,567,US,1,1
A00169,70,PH,1,2
A00170,217,BR,1,5
A00172,1395,UK,1,2
A00173,1308,UK,1,7
A00344,1632,DE,1,1
A00510,1790,US,1,0
A00582,218,UK,1,6
A00584,745,US,1,10
A00611,849,PH,1,1
A00686,749,IN,1,9
A00784,876,US,1,0
A00837,380,US,1,8
A00874,1264,UK,1,9
A00892,954,BR,1,0
A00914,1077,NG,1,11
A00978,651,US,1,9
A00985,1184,NG,1,2
A01031,336,US,1,8
A01053,1726,IN,1,9
A01072,1369,UK,1,0
A01123,461,US,1,1
A01133,1380,US,1,8
A01148,1249,US,1,10
A01317,1074,US,1,8
A01402,560,DE,1,3
A00000,187,US,0,-1
A00001,1399,US,0,-1
A00002,1188,US,0,-1
A00003,806,IN,0,-1
A00004,796,US,0,-1
A00005,1549,NG,0,-1
A00006,182,BR,0,-1
A00007,1264,DE,0,-1
A00008,386,IN,0,-1
A00009,196,PH,0,-1
A00010,961,US,0,-1
A00011,1756,UK,0,-1
A00012,1332,US,0,-1
A00013,1377,PH,0,-1
A00014,1299,IN,0,-1
A00015,1421,DE,0,-1
A00016,938,US,0,-1
A00017,256,PH,0,-1
A00018,1516,IN,0,-1
A00019,827,IN,0,-1
A00020,915,PH,0,-1
A00021,686,UK,0,-1
A00022,353,UK,0,-1
A00023,1670,IN,0,-1
A00024,1413,US,0,-1
A00025,1169,US,0,-1
A00026,742,US,0,-1
A00027,1486,US,0,-1
A00028,995,NG,0,-1
A00029,814,IN,0,-1
A00030,827,UK,0,-1
A00031,432,UK,0,-1
A00032,193,UK,0,-1
A00033,1011,IN,0,-1
A00034,1601,NG,0,-1
A00035,142,PH,0,-1
A00036,1549,UK,0,-1
A00037,1494,US,0,-1
A00038,519,UK,0,-1
A00039,1148,IN,0,-1
