tx_id,src_account,dst_account,amount,hour,day,kind
T0001360,A01402,A00135,8.09,7,71,legit
T0001575,A00009,A00036,2.22,2,54,legit
T0001687,A00510,A00022,53.53,21,64,legit
T0003120,A00022,A00837,14.4,18,28,legit
T0003222,A00022,A00036,57.73,22,77,legit
T0004015,A01402,A00510,10.97,19,49,legit
T0004194,A01402,A00013,47.07,15,32,legit
T0005050,A00013,A00025,1000.0,7,65,legit
T0005157,A00025,A01317,207.41,11,70,legit
T0005377,A00022,A00009,18.83,9,12,legit
T0005516,A01031,A00025,361.36,16,50,legit
T0006707,A00022,A01402,192.69,15,82,legit
T0009164,A00582,A00013,84.24,7,4,legit
T0009880,A00009,A00025,200.0,17,86,legit
T0010004,A00892,A00784,50.93,10,21,ring_0_cycle
T0010005,A00784,A00510,250.0,0,69,ring_0_cycle
T0010013,A00784,A01072,8.79,15,2,ring_0_dense
T0010039,A00344,A00611,28.76,15,9,ring_1_cycle
T0010047,A01123,A00611,23.36,18,89,ring_1_dense
T0010050,A01123,A00135,13.71,5,10,ring_1_dense
T0010055,A00611,A01123,9.88,22,86,ring_1_dense
T0010072,A00135,A00344,65.16,6,83,ring_1_dense
T0010076,A01123,A00135,24.88,20,67,ring_1_dense
T0010087,A00985,A00063,98.74,11,32,ring_2_cycle
T0010088,A00063,A00169,100.0,0,67,ring_2_cycle
T0010097,A00172,A00087,89.13,16,29,ring_2_cycle
T0010120,A00169,A00172,438.7,5,5,ring_2_dense
T0010122,A00172,A00087,17.81,5,26,ring_2_dense
T0010125,A00985,A00172,312.07,21,4,ring_2_dense
T0010131,A00172,A00087,63.44,17,75,ring_2_dense
T0010254,A00103,A00088,137.22,18,53,ring_5_cycle
T0010270,A00170,A00103,43.69,12,19,ring_5_dense
T0010390,A00837,A01133,100.0,22,76,ring_8_cycle
T0010404,A01317,A01133,42.15,2,63,ring_8_dense
T0010409,A01031,A01133,10.37,12,68,ring_8_dense
T0010430,A00686,A00874,17.68,20,42,ring_9_cycle
T0010443,A01053,A00686,500.0,23,2,ring_9_cycle
T0010461,A00978,A01053,13.8,11,82,ring_9_dense
T0010477,A00686,A00978,13.3,1,14,ring_9_dense
T0010478,A00978,A00686,10.42,6,42,ring_9_dense
